ada | Ada | 02_doga | fabric
agac | Ağaç | 02_doga | flora
agac_kabugu | Ağaç Kabuğu | 02_doga | flora
ahsap_kalkan | Ahşap Kalkan | 02_doga | solid
ahtapot | Ahtapot | 02_doga | fluid
aile | Aile | 03_canlilar | magic
akrep | Akrep | 02_doga | mech
aku | Akü | 02_doga | mech
alacakaranlik | Alacakaranlık | 08_mistik_ve_evren | magic
alci | Alçı | 04_zanaat_ve_aletler | mech
alet | Alet | 04_zanaat_ve_aletler | mech
alfabe | Alfabe | 02_doga | fabric
alkol | Alkol | 06_yemek_ve_tarim | fluid
altar | Altar | 08_mistik_ve_evren | relic
altin | Altın | 05_maden_ve_materyaller | mineral
altin_sikke | Altın Sikke | 05_maden_ve_materyaller | mineral
ametist | Ametist | 04_zanaat_ve_aletler | fabric
ampul | Ampul | 02_doga | fluid
anahtar | Anahtar | 04_zanaat_ve_aletler | mech
anit | Anıt | 08_mistik_ve_evren | relic
anka_kulu | Anka Külü | 02_doga | mech
anka_kusu | Anka Kuşu | 03_canlilar | magic
araba | Araba | 02_doga | fabric
ari | Arı | 02_doga | mech
armut | Armut | 05_maden_ve_materyaller | solid
asa | Asa | 02_doga | fabric
asit_yagmuru | Asit Yağmuru | 01_elements | gas
aslan | Aslan | 02_doga | mech
asteroit | Asteroit | 08_mistik_ve_evren | mech
at | At | 08_mistik_ve_evren | magic
ates | Ateş | 01_elements | mineral
ates_topu_kitabi | Ateş Topu Kitabı | 08_mistik_ve_evren | flame
aurora | Aurora | 01_elements | flame
ay | Ay | 02_doga | fabric
ayi | Ayı | 02_doga | magic
ayna | Ayna | 02_doga | fluid
badem | Badem | 04_zanaat_ve_aletler | mech
baharat | Baharat | 02_doga | fluid
baharat_cesnisi | Baharat Çeşnisi | 02_doga | fluid
bakir | Bakır | 02_doga | magic
bakteri | Bakteri | 03_canlilar | fluid
bal | Bal | 04_zanaat_ve_aletler | mech
bal_kavanozu | Bal Kavanozu | 02_doga | mech
balik | Balık | 03_canlilar | food
balik_eti | Balık Eti | 03_canlilar | food
balina | Balina | 02_doga | mech
balta | Balta | 02_doga | mech
bambu | Bambu | 02_doga | flora
banka | Banka | 08_mistik_ve_evren | fluid
baraj | Baraj | 01_elements | fluid
barometre | Barometre | 07_bilim_ve_teknoloji | mech
barut | Barut | 04_zanaat_ve_aletler | mech
barut_ficisi | Barut Fıçısı | 04_zanaat_ve_aletler | mech
bataklik | Bataklık | 04_zanaat_ve_aletler | mech
baykus | Baykuş | 02_doga | mech
beton | Beton | 05_maden_ve_materyaller | solid
biber | Biber | 02_doga | relic
bicak | Bıçak | 04_zanaat_ve_aletler | mech
bilgisayar | Bilgisayar | 07_bilim_ve_teknoloji | mech
bira | Bira | 02_doga | fabric
bisiklet | Bisiklet | 04_zanaat_ve_aletler | mech
bitki | Bitki | 04_zanaat_ve_aletler | mech
biyonik_kol | Biyonik Kol | 02_doga | mech
bomba | Bomba | 01_elements | flame
borsa | Borsa | 05_maden_ve_materyaller | fabric
bosluk_sisesi | Boşluk Şişesi | 01_elements | solid
boynuz | Boynuz | 02_doga | mech
boyut_kapisi | Boyut Kapısı | 08_mistik_ve_evren | magic
bozkir | Bozkır | 02_doga | mech
bronz | Bronz | 05_maden_ve_materyaller | relic
bugday | Buğday | 06_yemek_ve_tarim | flora
buhar | Buhar | 01_elements | fluid
buhar_jeneratoru | Buhar Jeneratörü | 01_elements | fluid
buhar_motoru | Buhar Motoru | 07_bilim_ve_teknoloji | mech
buharli_gemi | Buharlı Gemi | 01_elements | fluid
bulut | Bulut | 01_elements | gas
buyu | Büyü | 02_doga | magic
buyu_parsomeni | Büyü Parşömeni | 08_mistik_ve_evren | relic
buz | Buz | 01_elements | gas
buz_dagi | Buz Dağı | 01_elements | flame
buz_runu | Buz Rünü | 01_elements | gas
buzul | Buzul | 01_elements | gas
cadir | Çadır | 08_mistik_ve_evren | relic
cakmaktasi | Çakmaktaşı | 04_zanaat_ve_aletler | mech
cali | Çalı | 02_doga | mech
cam | Cam | 07_bilim_ve_teknoloji | mech
camur | Çamur | 01_elements | gas
cark | Çark | 04_zanaat_ve_aletler | mech
cay | Çay | 06_yemek_ve_tarim | food
cehennem_tasi | Cehennem Taşı | 08_mistik_ve_evren | magic
cekic | Çekiç | 04_zanaat_ve_aletler | mech
celik | Çelik | 05_maden_ve_materyaller | mineral
celik_kulce | Çelik Külçe | 05_maden_ve_materyaller | mineral
ceviz | Ceviz | 02_doga | fabric
cicek | Çiçek | 02_doga | flora
cig | Çığ | 04_zanaat_ve_aletler | mech
cikolata | Çikolata | 06_yemek_ve_tarim | food
cilek | Çilek | 06_yemek_ve_tarim | flora
cimen | Çimen | 02_doga | magic
cimento | Çimento | 04_zanaat_ve_aletler | mech
cin | Cin | 04_zanaat_ve_aletler | fabric
civa | Cıva | 02_doga | fluid
civi | Çivi | 02_doga | mech
col | Çöl | 02_doga | mineral
comlek | Çömlek | 02_doga | mineral
corba | Çorba | 02_doga | mech
dag | Dağ | 05_maden_ve_materyaller | solid
darphane | Darphane | 02_doga | magic
davul | Davul | 02_doga | mech
degirmen | Değirmen | 04_zanaat_ve_aletler | mech
demir | Demir | 05_maden_ve_materyaller | mineral
demir_kalkan | Demir Kalkan | 05_maden_ve_materyaller | gas
demir_kulce | Demir Külçe | 05_maden_ve_materyaller | mineral
demir_parmaklik | Demir Parmaklık | 05_maden_ve_materyaller | mineral
demir_zirh | Demir Zırh | 05_maden_ve_materyaller | mineral
demiryolu | Demiryolu | 07_bilim_ve_teknoloji | solid
deniz | Deniz | 01_elements | fluid
denizalti | Denizaltı | 01_elements | fluid
denizanasi | Denizanası | 03_canlilar | fluid
denizkizi | Denizkızı | 03_canlilar | fluid
deprem | Deprem | 01_elements | solid
deri | Deri | 02_doga | fabric
deri_zirh | Deri Zırh | 08_mistik_ve_evren | magic
dinamit | Dinamit | 05_maden_ve_materyaller | mineral
dinamolu_fener | Dinamolu Fener | 04_zanaat_ve_aletler | mech
dinozor | Dinozor | 03_canlilar | relic
disli | Dişli | 04_zanaat_ve_aletler | mech
disli_cark | Dişli Çark | 04_zanaat_ve_aletler | mech
dolu | Dolu | 02_doga | mech
domates | Domates | 02_doga | fabric
dondurma | Dondurma | 02_doga | fluid
dukkan | Dükkan | 02_doga | fabric
duman | Duman | 02_doga | mech
ejderha | Ejderha | 02_doga | mech
ekmek | Ekmek | 06_yemek_ve_tarim | food
el_arabasi | El Arabası | 07_bilim_ve_teknoloji | mech
elektrik | Elektrik | 07_bilim_ve_teknoloji | electric
elektrik_motoru | Elektrik Motoru | 07_bilim_ve_teknoloji | electric
elma | Elma | 02_doga | food
elmas | Elmas | 05_maden_ve_materyaller | food
enerji | Enerji | 01_elements | electric
et | Et | 02_doga | fabric
ev | Ev | 02_doga | magic
evren | Evren | 08_mistik_ve_evren | magic
fay_hatti | Fay Hattı | 04_zanaat_ve_aletler | mech
fayton | Fayton | 02_doga | mineral
felsefe_tasi | Felsefe Taşı | 04_zanaat_ve_aletler | mech
fener | Fener | 04_zanaat_ve_aletler | mech
fener_kulesi | Fener Kulesi | 08_mistik_ve_evren | relic
findik | Fındık | 02_doga | magic
firtina | Fırtına | 01_elements | gas
firtina_bulutu | Fırtına Bulutu | 01_elements | gas
firtina_kilici | Fırtına Kılıcı | 01_elements | mech
fiyort | Fiyort | 02_doga | mech
flut | Flüt | 01_elements | gas
fosil | Fosil | 04_zanaat_ve_aletler | mech
fotograf | Fotoğraf | 01_elements | fabric
galaksi | Galaksi | 08_mistik_ve_evren | magic
gayzer | Gayzer | 07_bilim_ve_teknoloji | mech
gazete | Gazete | 04_zanaat_ve_aletler | fabric
gece | Gece | 08_mistik_ve_evren | electric
geyik | Geyik | 02_doga | magic
gezegen | Gezegen | 08_mistik_ve_evren | magic
girdap | Girdap | 02_doga | fabric
gitar | Gitar | 04_zanaat_ve_aletler | mech
